metric,mean,sd,ci_lower_mean,ci_upper_mean
accuracy,0.7208251150558843,0.006417206569560963,0.701586127547666,0.7395751150558842
cohen_kappa,0.6927357536164931,0.007069656638065571,0.6703413563090637,0.7132231106785779
macro_f1,0.7215429833060426,0.006373682550648414,0.700598960966668,0.7396158452523665
